filas columnas iteraciones
21 21 186
71 71 2351
121 121 6894
171 171 13852
221 221 23222
271 271 34992
321 321 49041
371 371 65725
421 421 84801
471 471 106127
521 521 129867
571 571 156073
621 621 184629
671 671 215572
721 721 248922
771 771 284635
821 821 323087
871 871 363523
921 921 406577
971 971 451987
1021 1021 499713
1071 1071 549894
1121 1121 602324
1171 1171 657227
1221 1221 714948
1271 1271 774852
1321 1321 837141
1371 1371 901791
1421 1421 968450
1471 1471 1037521
1521 1521 1109302
1571 1571 1183782
1621 1621 1260678
1671 1671 1339578
1721 1721 1421097
1771 1771 1504921
1821 1821 1591274
1871 1871 1679500
1921 1921 1771393
1971 1971 1864365
2021 2021 1959948
2071 2071 2058027
2121 2121 2159003
2171 2171 2262588
2221 2221 2368054
2271 2271 2475234
2321 2321 2585774
2371 2371 2698243
2421 2421 2813562
2471 2471 2930654
2521 2521 3050060
2571 2571 3172702
2621 2621 3297539
2671 2671 3424785
2721 2721 3554325
2771 2771 3686098
2821 2821 3819710
2871 2871 3956595
2921 2921 4095870
2971 2971 4237344
3021 3021 4381375
3071 3071 4527162
3121 3121 4675327
3171 3171 4826969
3221 3221 4980317
3271 3271 5136301
3321 3321 5294791
3371 3371 5455342
3421 3421 5618838
3471 3471 5783617
3521 3521 5952078
3571 3571 6122182
3621 3621 6295132
3671 3671 6470498
3721 3721 6646564
3771 3771 6827638
3821 3821 7008734
3871 3871 7193198
3921 3921 7381722
3971 3971 7571320
4021 4021 7762379
4071 4071 7956265
4121 4121 8153419
4171 4171 8353301
4221 4221 8555620
4271 4271 8759097
4321 4321 8964708
4371 4371 9174360
4421 4421 9385197
4471 4471 9598554
4521 4521 9813625
4571 4571 10031892
4621 4621 10253002
4671 4671 10476262
4721 4721 10701458
4771 4771 10930108
4821 4821 11160975
4871 4871 11392852
4921 4921 11628581
4971 4971 11864819
5021 5021 12106110
5071 5071 12346615
5121 5121 12593049
5171 5171 12840072
5221 5221 13089208
5271 5271 13341257
5321 5321 13596182
5371 5371 13852513
5421 5421 14111195
5471 5471 14372491
5521 5521 14637176
5571 5571 14901829
5621 5621 15172067
5671 5671 15443565
5721 5721 15717891
5771 5771 15993162
5821 5821 16272380
5871 5871 16550754
5921 5921 16835841
5971 5971 17120195
6021 6021 17409219
6071 6071 17701368
6121 6121 17992757
6171 6171 18286754
6221 6221 18584419
6271 6271 18884722
6321 6321 19187519
6371 6371 19493088
6421 6421 19800062
6471 6471 20110695
6521 6521 20420718
6571 6571 20736329
6621 6621 21051525
6671 6671 21372547
6721 6721 21692184
6771 6771 22016284
6821 6821 22343308
6871 6871 22671951
6921 6921 23004042
6971 6971 23336768
7021 7021 23673489
7071 7071 24012594
7121 7121 24353562
7171 7171 24695664
7221 7221 25040627
7271 7271 25392456
7321 7321 25740117
7371 7371 26092201
7421 7421 26449256
7471 7471 26805590
7521 7521 27166001
7571 7571 27529375
7621 7621 27892646
7671 7671 28260589
7721 7721 28628889
7771 7771 29001866
7821 7821 29376927
7871 7871 29753907
7921 7921 30132699
7971 7971 30515073
8021 8021 30897923
8071 8071 31286707
8121 8121 31674877
8171 8171 32064322
8221 8221 32457759
8271 8271 32856143
8321 8321 33253983
8371 8371 33654033
8421 8421 34058711
8471 8471 34460656
8521 8521 34871802
8571 8571 35279925
8621 8621 35695982
8671 8671 36110659
8721 8721 36525888
8771 8771 36947755
8821 8821 37371452
8871 8871 37794748
8921 8921 38219097
8971 8971 38650822
9021 9021 39084636
9071 9071 39518125
9121 9121 39954617
9171 9171 40394642
9221 9221 40836147
9271 9271 41280779
9321 9321 41725818
9371 9371 42175245
9421 9421 42628197
9471 9471 43081359
9521 9521 43535799
9571 9571 43996046
9621 9621 44456523
9671 9671 44922670
9721 9721 45386286
9771 9771 45853481
9821 9821 46326710
9871 9871 46795031
9921 9921 47274309
9971 9971 47750404
