filas area tiempo iteraciones
21 441 0.0001 199
71 5041 0.0007 2449
121 14641 0.0013 7199
171 29241 0.0025 14447
221 48841 0.0045 24199
271 73441 0.0060 36449
321 103041 0.0071 51197
371 137641 0.0097 68449
421 177241 0.0120 88195
471 221841 0.0121 110449
521 271441 0.0134 135199
571 326041 0.0155 162447
621 385641 0.0190 192199
671 450241 0.0244 224447
721 519841 0.0569 259197
771 594441 0.0299 296443
821 674041 0.0365 336195
871 758641 0.0352 378439
921 848241 0.0391 423189
971 942841 0.0441 470435
1021 1042441 0.0529 520189
1071 1147041 0.0547 572443
1121 1256641 0.0604 627191
1171 1371241 0.0666 684429
1221 1490841 0.0723 744191
1271 1615441 0.0761 806439
1321 1745041 0.0820 871187
1371 1879641 0.0889 938435
1421 2019241 0.0949 1008185
1471 2163841 0.1064 1080441
1521 2313441 0.1098 1155187
1571 2468041 0.1160 1232431
1621 2627641 0.1236 1312187
1671 2792241 0.1325 1394419
1721 2961841 0.1416 1479181
1771 3136441 0.1481 1566425
1821 3316041 0.1562 1656179
1871 3500641 0.1703 1748435
1921 3690241 0.1756 1843171
1971 3884841 0.1839 1940429
2021 4084441 0.1956 2040165
2071 4289041 0.2023 2142425
2121 4498641 0.2123 2247165
2171 4713241 0.2245 2354429
2221 4932841 0.2315 2464183
2271 5157441 0.2452 2576423
2321 5387041 0.2544 2691167
2371 5621641 0.2642 2808425
2421 5861241 0.2797 2928173
2471 6105841 0.2873 3050413
2521 6355441 0.3006 3175155
2571 6610041 0.3147 3302417
2621 6869641 0.3247 3432153
2671 7134241 0.3374 3564407
2721 7403841 0.3514 3699159
2771 7678441 0.3683 3836405
2821 7958041 0.3773 3976165
2871 8242641 0.3905 4118403
2921 8532241 0.4060 4263141
2971 8826841 0.4169 4410397
3021 9126441 0.4314 4560153
3071 9431041 0.4451 4712403
3121 9740641 0.4609 4867133
3171 10055241 0.4743 5024411
3221 10374841 0.5056 5184143
3271 10699441 0.5084 5346381
3321 11029041 0.5244 5511137
3371 11363641 0.5431 5678363
3421 11703241 0.5577 5848141
3471 12047841 0.5732 6020387
3521 12397441 0.5890 6195117
3571 12752041 0.6042 6372379
3621 13111641 0.6199 6552115
3671 13476241 0.6400 6734371
3721 13845841 0.6636 6919123
3771 14220441 0.6938 7106359
3821 14600041 0.6935 7296137
3871 14984641 0.7128 7488369
3921 15374241 0.7324 7683111
3971 15768841 0.7499 7880381
4021 16168441 0.7687 8080113
4071 16573041 0.7912 8282345
4121 16982641 0.8170 8487089
4171 17397241 0.8652 8694347
4221 17816841 0.8431 8904063
4271 18241441 0.8647 9116337
4321 18671041 0.8863 9331087
4371 19105641 0.9045 9548341
4421 19545241 0.9698 9768081
4471 19989841 0.9944 9990307
4521 20439441 0.9732 10215079
4571 20894041 0.9904 10442311
