repeticiones filas area tiempo iteraciones
0 21 441 0.0000 199
1 21 441 0.0000 199
2 21 441 0.0000 199
3 21 441 0.0000 199
4 21 441 0.0000 199
5 21 441 0.0000 199
1 71 5041 0.0000 2449
2 71 5041 0.0000 2449
3 71 5041 0.0000 2449
4 71 5041 0.0000 2449
5 71 5041 0.0000 2449
1 121 14641 0.0010 7199
2 121 14641 0.0010 7199
3 121 14641 0.0010 7199
4 121 14641 0.0010 7199
5 121 14641 0.0010 7199
1 171 29241 0.0010 14449
2 171 29241 0.0020 14449
3 171 29241 0.0020 14449
4 171 29241 0.0030 14449
5 171 29241 0.0020 14449
1 221 48841 0.0030 24199
2 221 48841 0.0050 24199
3 221 48841 0.0030 24197
4 221 48841 0.0040 24197
5 221 48841 0.0040 24197
1 271 73441 0.0050 36449
2 271 73441 0.0050 36449
3 271 73441 0.0050 36449
4 271 73441 0.0070 36449
5 271 73441 0.0060 36449
1 321 103041 0.0120 51199
2 321 103041 0.0090 51199
3 321 103041 0.0100 51199
4 321 103041 0.0100 51199
5 321 103041 0.0070 51199
1 371 137641 0.0190 68449
2 371 137641 0.0110 68449
3 371 137641 0.0090 68449
4 371 137641 0.0100 68449
5 371 137641 0.0110 68449
1 421 177241 0.0180 88199
2 421 177241 0.0130 88199
3 421 177241 0.0130 88199
4 421 177241 0.0130 88195
5 421 177241 0.0130 88195
1 471 221841 0.0140 110449
2 471 221841 0.0170 110449
3 471 221841 0.0160 110449
4 471 221841 0.0150 110449
5 471 221841 0.0210 110449
1 521 271441 0.0180 135199
2 521 271441 0.0190 135199
3 521 271441 0.0190 135199
4 521 271441 0.0170 135199
5 521 271441 0.0170 135199
1 571 326041 0.0210 162449
2 571 326041 0.0240 162449
3 571 326041 0.0230 162449
4 571 326041 0.0240 162449
5 571 326041 0.0250 162449
1 621 385641 0.0290 192199
2 621 385641 0.0360 192199
3 621 385641 0.0270 192199
4 621 385641 0.0240 192197
5 621 385641 0.0250 192197
1 671 450241 0.0300 224449
2 671 450241 0.0320 224449
3 671 450241 0.0300 224449
4 671 450241 0.0330 224449
5 671 450241 0.0350 224449
1 721 519841 0.0330 259197
2 721 519841 0.0380 259197
3 721 519841 0.0340 259195
4 721 519841 0.0370 259195
5 721 519841 0.0380 259195
1 771 594441 0.0390 296443
2 771 594441 0.0450 296443
3 771 594441 0.0540 296443
4 771 594441 0.0370 296443
5 771 594441 0.0420 296443
1 821 674041 0.0480 336197
2 821 674041 0.0450 336197
3 821 674041 0.0760 336197
4 821 674041 0.0480 336197
5 821 674041 0.0460 336197
1 871 758641 0.0580 378441
2 871 758641 0.0500 378441
3 871 758641 0.0520 378441
4 871 758641 0.0510 378445
5 871 758641 0.0550 378445
1 921 848241 0.0580 423195
2 921 848241 0.0610 423195
3 921 848241 0.0550 423195
4 921 848241 0.0550 423195
5 921 848241 0.0600 423187
1 971 942841 0.0640 470445
2 971 942841 0.0860 470445
3 971 942841 0.0690 470445
4 971 942841 0.0710 470445
5 971 942841 0.0660 470445
1 1021 1042441 0.0720 520193
2 1021 1042441 0.0730 520193
3 1021 1042441 0.0820 520193
4 1021 1042441 0.0780 520193
5 1021 1042441 0.0760 520193
1 1071 1147041 0.0780 572443
2 1071 1147041 0.0790 572443
3 1071 1147041 0.0810 572441
4 1071 1147041 0.0770 572441
5 1071 1147041 0.0820 572441
1 1121 1256641 0.0910 627189
2 1121 1256641 0.0970 627189
3 1121 1256641 0.0850 627189
4 1121 1256641 0.0840 627191
5 1121 1256641 0.0910 627191
1 1171 1371241 0.1070 684441
2 1171 1371241 0.1070 684441
3 1171 1371241 0.0930 684441
4 1171 1371241 0.0960 684443
5 1171 1371241 0.0940 684443
1 1221 1490841 0.1350 744197
2 1221 1490841 0.1160 744197
3 1221 1490841 0.1060 744197
4 1221 1490841 0.1090 744189
5 1221 1490841 0.0990 744189
1 1271 1615441 0.1280 806441
2 1271 1615441 0.1140 806441
3 1271 1615441 0.1220 806441
4 1271 1615441 0.1140 806437
5 1271 1615441 0.1180 806437
1 1321 1745041 0.1270 871177
