repeticiones filas area tiempo iteraciones
0 21 441 0.0000 100
1 21 441 0.0000 100
2 21 441 0.0000 100
3 21 441 0.0000 100
4 21 441 0.0000 100
5 21 441 0.0000 100
1 71 5041 0.0004 1225
2 71 5041 0.0004 1225
3 71 5041 0.0003 1225
4 71 5041 0.0004 1225
5 71 5041 0.0003 1225
1 121 14641 0.0009 3600
2 121 14641 0.0011 3600
3 121 14641 0.0008 3600
4 121 14641 0.0014 3600
5 121 14641 0.0007 3600
1 171 29241 0.0015 7225
2 171 29241 0.0015 7225
3 171 29241 0.0014 7225
4 171 29241 0.0014 7225
5 171 29241 0.0015 7225
1 221 48841 0.0022 12100
2 221 48841 0.0023 12100
3 221 48841 0.0023 12100
4 221 48841 0.0022 12100
5 221 48841 0.0022 12100
1 271 73441 0.0033 18225
2 271 73441 0.0034 18225
3 271 73441 0.0033 18225
4 271 73441 0.0033 18225
5 271 73441 0.0034 18225
1 321 103041 0.0045 25600
2 321 103041 0.0045 25600
3 321 103041 0.0046 25600
4 321 103041 0.0040 25600
5 321 103041 0.0044 25600
1 371 137641 0.0056 34225
2 371 137641 0.0053 34225
3 371 137641 0.0058 34225
4 371 137641 0.0050 34225
5 371 137641 0.0051 34225
1 421 177241 0.0069 44100
2 421 177241 0.0068 44100
3 421 177241 0.0061 44100
4 421 177241 0.0062 44100
5 421 177241 0.0060 44100
1 471 221841 0.0083 55225
2 471 221841 0.0079 55225
3 471 221841 0.0102 55225
4 471 221841 0.0084 55225
5 471 221841 0.0083 55225
1 521 271441 0.0100 67600
2 521 271441 0.0098 67600
3 521 271441 0.0106 67600
4 521 271441 0.0096 67600
5 521 271441 0.0097 67600
1 571 326041 0.0118 81225
2 571 326041 0.0116 81225
3 571 326041 0.0115 81225
4 571 326041 0.0111 81225
5 571 326041 0.0108 81225
1 621 385641 0.0130 96100
2 621 385641 0.0127 96100
3 621 385641 0.0128 96100
4 621 385641 0.0127 96100
5 621 385641 0.0134 96100
1 671 450241 0.0157 112225
2 671 450241 0.0151 112225
3 671 450241 0.0152 112225
4 671 450241 0.0149 112225
5 671 450241 0.0150 112225
1 721 519841 0.0176 129600
2 721 519841 0.0348 129600
3 721 519841 0.0266 129600
4 721 519841 0.0189 129600
5 721 519841 0.0175 129600
1 771 594441 0.0206 148225
2 771 594441 0.0215 148225
3 771 594441 0.0201 148225
4 771 594441 0.0201 148225
5 771 594441 0.0201 148225
1 821 674041 0.0228 168100
2 821 674041 0.0246 168100
3 821 674041 0.0245 168100
4 821 674041 0.0271 168100
5 821 674041 0.0246 168100
1 871 758641 0.0276 189225
2 871 758641 0.0274 189225
3 871 758641 0.0267 189225
4 871 758641 0.0256 189225
5 871 758641 0.0259 189225
1 921 848241 0.0299 211600
2 921 848241 0.0291 211600
3 921 848241 0.0314 211600
4 921 848241 0.0316 211600
5 921 848241 0.0312 211600
1 971 942841 0.0348 235225
2 971 942841 0.0368 235225
3 971 942841 0.0335 235225
4 971 942841 0.0320 235225
5 971 942841 0.0325 235225
