repeticiones filas area tiempo iteraciones
0 21 441 0.0000 100
1 21 441 0.0000 100
2 21 441 0.0000 100
3 21 441 0.0000 100
4 21 441 0.0000 100
5 21 441 0.0000 100
1 71 5041 0.0003 1225
2 71 5041 0.0003 1225
3 71 5041 0.0004 1225
4 71 5041 0.0004 1225
5 71 5041 0.0003 1225
1 121 14641 0.0011 3600
2 121 14641 0.0009 3600
3 121 14641 0.0014 3600
4 121 14641 0.0013 3600
5 121 14641 0.0011 3600
1 171 29241 0.0015 7225
2 171 29241 0.0015 7225
3 171 29241 0.0016 7225
4 171 29241 0.0018 7225
5 171 29241 0.0015 7225
1 221 48841 0.0024 12100
2 221 48841 0.0028 12100
3 221 48841 0.0026 12100
4 221 48841 0.0025 12100
5 221 48841 0.0023 12100
1 271 73441 0.0088 18225
2 271 73441 0.0139 18225
3 271 73441 0.0129 18225
4 271 73441 0.0075 18225
5 271 73441 0.0065 18225
1 321 103041 0.0066 25600
2 321 103041 0.0048 25600
3 321 103041 0.0058 25600
4 321 103041 0.0048 25600
5 321 103041 0.0048 25600
1 371 137641 0.0070 34225
2 371 137641 0.0072 34225
3 371 137641 0.0074 34225
4 371 137641 0.0060 34225
5 371 137641 0.0052 34225
1 421 177241 0.0091 44100
2 421 177241 0.0092 44100
3 421 177241 0.0103 44100
4 421 177241 0.0076 44100
5 421 177241 0.0069 44100
1 471 221841 0.0086 55225
2 471 221841 0.0119 55225
3 471 221841 0.0144 55225
4 471 221841 0.0403 55225
5 471 221841 0.0220 55225
1 521 271441 0.0275 67600
2 521 271441 0.0256 67600
3 521 271441 0.0290 67600
4 521 271441 0.0200 67600
5 521 271441 0.0151 67600
1 571 326041 0.0177 81225
2 571 326041 0.0287 81225
3 571 326041 0.0546 81225
4 571 326041 0.0282 81225
5 571 326041 0.0233 81225
1 621 385641 0.0248 96100
2 621 385641 0.0174 96100
3 621 385641 0.0155 96100
4 621 385641 0.0168 96100
5 621 385641 0.0175 96100
1 671 450241 0.0405 112225
2 671 450241 0.0372 112225
3 671 450241 0.0436 112225
4 671 450241 0.0387 112225
5 671 450241 0.0354 112225
1 721 519841 0.0740 129600
2 721 519841 0.0453 129600
3 721 519841 0.0437 129600
4 721 519841 0.0412 129600
5 721 519841 0.0282 129600
1 771 594441 0.0299 148225
2 771 594441 0.0279 148225
3 771 594441 0.0239 148225
4 771 594441 0.0279 148225
